game_id,oracle,backend,prior_risk,residual_risk,eventual_risk,intervention_cost,net_regret,dri,eventual_dri,identity_mi_bits,decision_signature_mi_bits,map_type_accuracy,decision_accuracy,expected_commitment_time,root_choice
active-separable,reconnaissance,float,20.0,8.0,8.0,5.0,13.0,0.6,0.6,0.27807190511263774,0.27807190511263774,0.8,0.8,1.0,act:stage_shared_item
active-separable,fixed_action__advance_task,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,act:advance_task
active-separable,fixed_action__stage_shared_item,float,20.0,8.0,8.0,5.0,13.0,0.6,0.6,0.27807190511263774,0.27807190511263774,0.8,0.8,1.0,act:stage_shared_item
intervention-too-expensive,fixed_response,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
intervention-too-expensive,passive_net,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
intervention-too-expensive,task_active_net,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
intervention-too-expensive,task_information,fraction,20,8,8,15,23,3/5,3/5,0.27807190511263774,0.27807190511263774,4/5,4/5,1,act:stage_shared_item
intervention-too-expensive,reconnaissance,fraction,20,8,8,15,23,3/5,3/5,0.27807190511263774,0.27807190511263774,4/5,4/5,1,act:stage_shared_item
intervention-too-expensive,fixed_action__advance_task,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,1,act:advance_task
intervention-too-expensive,fixed_action__stage_shared_item,fraction,20,8,8,15,23,3/5,3/5,0.27807190511263774,0.27807190511263774,4/5,4/5,1,act:stage_shared_item
intervention-too-expensive,fixed_response,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
intervention-too-expensive,passive_net,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
intervention-too-expensive,task_active_net,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
intervention-too-expensive,task_information,float,20.0,8.0,8.0,15.0,23.0,0.6,0.6,0.27807190511263774,0.27807190511263774,0.8,0.8,1.0,act:stage_shared_item
